RUN	simulations.Browser.GetDataSimulation	getdatasimulation	1680132542886	Test APM Grafana Loki	3.3.1
REQUEST	6		Get Data	1680132557092	1680132557209	OK	 
REQUEST	9		Get Data	1680132557122	1680132557230	OK	 
REQUEST	2		Get Data	1680132557134	1680132557241	OK	 
REQUEST	17		Get Data	1680132557152	1680132557262	OK	 
REQUEST	1		Get Data	1680132556933	1680132557323	OK	 
REQUEST	13		Get Data	1680132555194	1680132557354	OK	 
REQUEST	20		Get Data	1680132557074	1680132557552	OK	 
REQUEST	12		Get Data	1680132557520	1680132557656	OK	 
REQUEST	8		Get Data	1680132557119	1680132557712	OK	 
REQUEST	15		Get Data	1680132557723	1680132557873	OK	 
REQUEST	18		Get Data	1680132557797	1680132557912	OK	 
REQUEST	11		Get Data	1680132558002	1680132558110	OK	 
REQUEST	3		Get Data	1680132558003	1680132558111	OK	 
REQUEST	5		Get Data	1680132558063	1680132558169	OK	 
REQUEST	16		Get Data	1680132558188	1680132558307	OK	 
REQUEST	19		Get Data	1680132558205	1680132558314	OK	 
REQUEST	4		Get Data	1680132558205	1680132558318	OK	 
REQUEST	9		Get Data	1680132558234	1680132558341	OK	 
REQUEST	2		Get Data	1680132558252	1680132558365	OK	 
REQUEST	17		Get Data	1680132558282	1680132558395	OK	 
REQUEST	1		Get Data	1680132558327	1680132558439	OK	 
REQUEST	6		Get Data	1680132558206	1680132558606	OK	 
REQUEST	14		Get Data	1680132558203	1680132558662	OK	 
REQUEST	10		Get Data	1680132558204	1680132558662	OK	 
REQUEST	20		Get Data	1680132558560	1680132558677	OK	 
REQUEST	12		Get Data	1680132558637	1680132558748	OK	 
REQUEST	7		Get Data	1680132558206	1680132558839	OK	 
REQUEST	8		Get Data	1680132558703	1680132559004	OK	 
REQUEST	18		Get Data	1680132558903	1680132559011	OK	 
REQUEST	13		Get Data	1680132558358	1680132559171	OK	 
REQUEST	3		Get Data	1680132559121	1680132559250	OK	 
REQUEST	5		Get Data	1680132559153	1680132559270	OK	 
REQUEST	15		Get Data	1680132558892	1680132559279	OK	 
REQUEST	16		Get Data	1680132559293	1680132559412	OK	 
REQUEST	19		Get Data	1680132559324	1680132559432	OK	 
REQUEST	4		Get Data	1680132559323	1680132559469	OK	 
REQUEST	17		Get Data	1680132559401	1680132559520	OK	 
REQUEST	1		Get Data	1680132559432	1680132559542	OK	 
