RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1687288884633	 	3.3.1
REQUEST	59		Get Data	1687288889648	1687288889756	OK	 
REQUEST	84		Get Data	1687288889648	1687288889756	OK	 
REQUEST	88		Get Data	1687288889663	1687288889772	OK	 
REQUEST	50		Get Data	1687288889262	1687288889806	OK	 
REQUEST	87		Get Data	1687288889725	1687288889821	OK	 
REQUEST	78		Get Data	1687288889725	1687288889822	OK	 
REQUEST	96		Get Data	1687288889725	1687288889829	OK	 
REQUEST	85		Get Data	1687288889725	1687288889833	OK	 
REQUEST	94		Get Data	1687288889740	1687288889843	OK	 
REQUEST	98		Get Data	1687288889770	1687288889875	OK	 
REQUEST	92		Get Data	1687288889787	1687288889886	OK	 
REQUEST	91		Get Data	1687288889773	1687288889931	OK	 
REQUEST	93		Get Data	1687288889801	1687288889935	OK	 
REQUEST	64		Get Data	1687288889863	1687288889963	OK	 
REQUEST	90		Get Data	1687288889883	1687288889988	OK	 
REQUEST	89		Get Data	1687288889893	1687288889994	OK	 
REQUEST	21		Get Data	1687288889909	1687288890004	OK	 
REQUEST	99		Get Data	1687288889909	1687288890006	OK	 
REQUEST	77		Get Data	1687288889908	1687288890014	OK	 
REQUEST	86		Get Data	1687288889909	1687288890016	OK	 
REQUEST	97		Get Data	1687288889924	1687288890041	OK	 
REQUEST	95		Get Data	1687288889924	1687288890093	OK	 
REQUEST	2		Get Data	1687288890000	1687288890113	OK	 
REQUEST	81		Get Data	1687288889910	1687288890124	OK	 
REQUEST	18		Get Data	1687288890033	1687288890138	OK	 
REQUEST	8		Get Data	1687288890076	1687288890177	OK	 
REQUEST	4		Get Data	1687288890091	1687288890195	OK	 
REQUEST	6		Get Data	1687288890091	1687288890196	OK	 
REQUEST	15		Get Data	1687288890107	1687288890210	OK	 
REQUEST	7		Get Data	1687288890106	1687288890211	OK	 
REQUEST	14		Get Data	1687288890121	1687288890220	OK	 
REQUEST	3		Get Data	1687288890137	1687288890244	OK	 
REQUEST	10		Get Data	1687288890137	1687288890245	OK	 
REQUEST	1		Get Data	1687288890153	1687288890253	OK	 
REQUEST	19		Get Data	1687288890153	1687288890257	OK	 
REQUEST	27		Get Data	1687288890184	1687288890280	OK	 
REQUEST	11		Get Data	1687288890185	1687288890282	OK	 
REQUEST	32		Get Data	1687288890185	1687288890290	OK	 
REQUEST	20		Get Data	1687288890184	1687288890290	OK	 
REQUEST	23		Get Data	1687288890185	1687288890290	OK	 
REQUEST	26		Get Data	1687288890200	1687288890320	OK	 
REQUEST	35		Get Data	1687288890233	1687288890330	OK	 
